122.0040,360
27.3270,940
42.5520,1360
43.6510,1080
42.9230,1320
43.0830,1360
27.8780,260
27.7520,420
14.0130,200
811.6191,1160
13.5550,100
13.5470,20
27.0490,40
27.1210,20
128.7630,1040
174.8830,280
54.7160,40
82.8740,740
82.8710,560
27.0490,260
13.7130,140
13.6640,120
27.4860,20
27.0230,60
27.3530,300
43.1330,740
42.8200,900
43.1860,1180
42.9000,900
42.9730,900
43.0480,1040
43.2110,1000
43.0250,1160
85.6380,1020
86.7910,1340
86.1670,1280
43.1240,680
173.3810,1180
109.6360,520
174.4160,1560
172.7470,1060
42.3880,1400
44.1680,980
86.0120,960
43.4840,980
149.7800,1100
42.4380,1420
44.2430,1220
44.0900,1700
301.2660,1180
684.9265,1220
128.9660,1040
129.9310,1080
69.0080,100
54.4770,320
55.0980,20
55.5810,40
54.3400,40
173.2700,980
27.1980,1160
171.6700,2660
43.4380,2740
44.3620,2460
43.6800,1200
42.4730,1520
86.6780,1480
27.1570,740
43.0620,2660
300.3100,1460
131.7950,1320
190.4550,300
108.0230,60
80.6920,180
13.6650,480
27.2460,640
171.6310,1040
27.2330,500
27.2360,420
82.1010,660
108.4790,140
110.3950,20
110.9380,180
164.3460,140
43.6990,1400
43.1820,1560
43.5520,1600
42.8040,1480
42.6110,1120
43.4070,1100
43.5450,1680
42.7710,1600
43.1120,1620
85.7070,1120
128.4840,1160
127.9790,880
42.9710,1240
42.5400,940
43.1700,1220
43.3050,680
86.1160,360
126.6610,460
95.4500,780
82.3680,800
95.7420,20
43.2710,1180
43.4240,640
42.9660,980
42.8460,920
43.0630,1240
42.4460,1240
42.8340,1220
42.7080,1080
42.1560,1120
43.4490,900
42.7800,1000
43.0450,860
43.6000,1000
42.7710,1080
43.1260,980
42.6380,1160
43.1950,1100
42.2610,980
84.6250,1180
41.2230,240
44.1760,760
43.9080,680
43.7170,800
43.4700,940
43.5440,960
43.8720,1040
53.6240,360
108.9670,620
85.8600,1120
86.8940,1040
42.6190,740
26.7640,720
26.7540,1020
26.6960,580
13.6420,660
864.9027,1060
86.2030,640
43.5690,1280
26.8330,460
131.2150,1200
86.3620,1440
86.1030,1300
85.8920,1340
86.2060,1500
130.3670,1300
126.5260,1280
128.7130,1380
27.4170,140
54.6010,700
42.7030,1480
130.2500,1720
85.7900,940
54.5680,1500
27.5120,840
108.2910,620
110.2090,320
85.6480,1260
128.1100,820
27.0720,60
81.8640,120
27.1170,20
150.5690,140
188.9546,40
129.8500,1360
27.1150,360
26.0980,780
27.5550,720
81.8220,380
27.5960,220
136.4150,140
109.9220,240
54.7930,320
43.3350,1380
42.0330,1460
43.8900,1060
129.8890,1080
42.2350,1140
43.5060,1380
26.9600,120
26.8270,20
165.5350,240
55.3660,220
42.8230,1260
43.0510,820
44.4600,520
128.8550,520
128.2550,380
42.8310,580
128.7320,880
126.9960,880
85.6720,920
86.8560,900
54.6600,940
82.0580,20
82.0610,20
82.9340,20
41.8860,500
43.1450,720
128.7880,860
128.8230,860
130.0840,900
128.2180,960
43.4210,580
43.4830,1260
54.3570,1020
27.3620,220
42.9130,40
192.9850,900
625.0830,960
172.0570,180
170.1410,420
26.9090,40
27.1830,20
26.9150,40
26.9520,40
27.6530,60
27.7320,60
26.6790,20
27.0970,180
27.4580,300
27.0840,80
43.5350,340
215.6850,200
215.3160,20
86.4880,20
85.1560,360
27.0280,40
81.5850,40
162.9340,120
43.7630,80
42.7140,40
43.3850,40
27.6680,40
13.9860,20
846.2791,940
53.1200,20
54.2840,20
54.4320,20
40.9080,20
55.0250,20
26.9750,20
27.4100,20
26.7870,20
26.5530,20
27.4080,20
27.0280,20
26.7190,20
26.7510,20
27.4710,20
27.2030,20
27.1620,20
